If you liked,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
Combining Spring Boot and JDBI,"Kotlin in Production - What works, Whats broken",Building Spring Cloud Microservices That Strangle Legacy Systems,Lessons from converting an app to 100% Kotlin - Keepsafe Engineering,Introducing Kotlin support in Spring Framework 5.0,"Tabs vs Spaces: How They Write Java at Google, Twitter, Mozilla and Pied Piper | Takipi Blog"
"Zuul 2 : The Netflix Journey to Asynchronous, Non-Blocking Systems",Serverless real-time architecture on AWS: there is a way !,"Building A Modern, Scalable Backend: Modernizing Monolithic Applications",Microservices Architecture on Google App Engine,Building Spring Cloud Microservices That Strangle Legacy Systems,"Tabs vs Spaces: How They Write Java at Google, Twitter, Mozilla and Pied Piper | Takipi Blog"
"An independent organization just ranked Google as the best cloud, beating Amazon",9 Non-Threatening Leadership Strategies for Women,Top 10 Intranet Trends of 2016,2 terrific #MarTech talks on the rise of AI in marketing - Chief Marketing Technologist,"Salesforce buys Demandware for $2.8B, taking a big step into e-commerce",Two Different Sales Motions . . . .
An operating model for company-wide agile development,Big IT Rising,"Salesforce buys Demandware for $2.8B, taking a big step into e-commerce",Embracing Agile,"Deep Learning for Chatbots, Part 2 - Implementing a Retrieval-Based Model in Tensorflow",An operating model for company-wide agile development
Announcing .NET Core 1.0,Beyond Progressive Web Apps Part 1,Java vs .NET vs Python vs Ruby vs Node.JS: Who Reigns the Job Market? | Takipi Blog,Google I/O 2016: Android's failure to innovate hands a Apple free run at WWDC,Accidental discovery could help batteries last years longer,Beyond Progressive Web Apps Part 2: We Need to Know What's New
An overview of web service solutions in Drupal 8,Cross-channel user experiences with Drupal,The Death of Drupal Commerce as an Ecommerce Solution - Third & Grove,The AI business landscape,Touch (TV Series 2012-2013),Lilly Wachowski Makes First Public Appearance Since Coming Out as Transgender
The AI business landscape,Text summarization with TensorFlow,"Hello, TensorFlow!",Making open source data more available,Why Google App Engine rocks: A Google engineer's take,"Amazon open-sources its own deep learning software, DSSTNE"
Inbox by Gmail ganha formatação de texto | Google Discovery,"Google launches Springboard, an AI-powered assistant for its enterprise customers",Touch (TV Series 2012-2013),"Deep-learning algorithm predicts photos' memorability at ""near-human"" levels","Hello, a nova rede social do Orkut, está liberada no Brasil",The AI business landscape
Good developers take breaks * Greetings Programs,Conheça 20 atletas LGBT que vão competir nas Olimpíadas do Rio,"Little girls doubt that women can be brilliant, study shows",Este site quer conectar profissionais trans e travestis a empresas que não têm preconceito,Introducing Ask a Female Engineer,The Genderbread Person v3 | It's Pronounced Metrosexual
7 Tips to Create a Company Learning Culture like Google - Without Resources,Learning How to Learn: The Most Important Developer Skill - Free Code Camp,Effective learning through code workshops | Box Blog,The Business Case for Progressive Web Apps,You don't talk about refactoring club,Creating Your Code Review Checklist - DaedTech
Beyond Progressive Web Apps Part 2: We Need to Know What's New,Beyond Progressive Web Apps Part 1,Serverless Data Sync in Web Apps with Bit Torrent,Programming by poking: why MIT stopped teaching SICP,"Espresso Intents: não é magia, é tecnologia! - Android Dev BR",Announcing .NET Core 1.0
Stackdriver Debugger now works with source code directly in GitHub and Bitbucket,StrictMode for Runtime Analysis on Android - Google Developers,LPIC-OT DevOps Engineer | Linux Professional Institute,Post: Just Say mNo to Hungarian Notation,Advanced Android Espresso,The Importance of Code Reviews
Bring Your App To Life with CALayers,Why and How to Avoid Hamburger Menus - Louie A. - Mobile UX Design,Twitter faz atualização em seu aplicativo Fabric para trazer mais funcionalidades às empresas e aos desenvolvedores de apps - Startupi,Building a Team from the Inside Out: Alok Gupta on the Evolution of Data Science at Airbnb,Facebook's Artificial Intelligence Research lab releases open source fastText on GitHub,You SHOULD Learn Vanilla JavaScript Before JS Frameworks - Snipcart
Grupo de bancos adere à tecnologia do bitcoin em transações,"Em 2017 será possível ignorar totalmente o cartão físico, garante Itaú",Benchmarks for the Top Server-Side Swift Frameworks vs. Node.js,Microsoft's Open Source Love Affair Reaches New Heights,Kotlin no Backend (Parte 2) :: Concrete Solutions,"Agile is Dead, Long Live Continuous Delivery - Gradle"
Shopping app Spring's redesign could be a game-changer,Making open source data more available,"No, Apple isn't the next BlackBerry - it's the next Microsoft","Deep-learning algorithm predicts photos' memorability at ""near-human"" levels",The barbell effect of machine learning.,Pinterest's Real-World Pins Let In-Store Shoppers Save Real Items to Virtual Boards
Assessing Salesforce's platform and ecosystem | ZDNet,PwC faz virada digital e já fatura US$ 1 bilhão no mundo,The economic essentials of digital strategy,Acquia Engage Awards Finalists Announced,"No Brasil, '25% dos celulares ainda são 'Burrofones'",How bot-to-bot could soon replace APIs
Um bilhão de arquivos mostram quem vence a disputa tabs vs. espaços entre programadores,"How to build a robot that ""sees"" with $100 and TensorFlow",What is WebAssembly? The Dawn of a New Era - JavaScript Scene,Burger King aceita pedidos via mensagens no Facebook - Startupi,Dark Scrum,Inteligência artificial da IBM criou 'trailer perfeito' para filme
A digital crack in banking's business model,XP quer ter banco no Brasil e vai abrir escritório em Genebra este mês,"Welcome to GoogleBank, Facebook Bank, Amazon Bank, and Apple Bank - Enrique Dans",8 Insanely Simple Productivity Hacks,The Future of Business is Design,"Microsoft adquire LinkedIn por US$ 26,2 bilhões"
Aplicativo gratuito permite gerenciar Consórcio Honda diretamente do celular - Notícias - Auto Estrada,Creating value in auto finance with vLendRight | Kevin Moseri,Google acquires deep search engine Kifi to enhance its Spaces group chat app,"Carne artificial acabará com o agronegócio brasileiro, afirma especialista",Samsung lança dispositivo para deixar carro conectado a partir de chip 4G - Link - Estadão,How to Create an Exponential Mindset
Como são escrita as risadas em japonês? - Suki Desu,Learn Hiragana: The Ultimate Guide,Design Patterns: Progressive Disclosure for Mobile Apps,UX ou UI?,How the queen of Silicon Valley is helping Google go after Amazon's most profitable business,Top 15 Facebook Open Source Projects You Must Know
Digital Health Coaching,Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...,The Internet of Things is looking for its VisiCalc,The barbell effect of machine learning.,A step-by-step guide to agile growth experiments,What Science Tells Us About Leadership Potential
The Importance of Code Reviews,Post: Just Say mNo to Hungarian Notation,Firebase Test Lab for Android,Sam Newman - Backends For Frontends,Pull request first - Practical Blend,Creating Your Code Review Checklist - DaedTech
Google adiciona medidor de velocidade da internet nos resultados de pesquisa | Google Discovery,Why Is Learning Drupal Hard?,Iniciando com o Docker: Criando suas próprias imagens - Tableless,Transfer Style But Not Color,Powering a more connected and collaborative enterprise,Docker 1.12: Now with Built-in Orchestration!
Why Is Learning Drupal Hard?,Iniciando com o Docker: Criando suas próprias imagens - Tableless,Google adiciona medidor de velocidade da internet nos resultados de pesquisa | Google Discovery,Iniciando com o Docker: dicas práticas para começar a usar agora mesmo - Tableless,Não ao preconceito! ONU celebra Dia da Visibilidade de Mulheres Lésbicas e Bissexuais,"No ano em que a Apple completa 40 anos, confira a evolução do iPhone"
Spotify UI built with HTML / CSS - Freebiesbug,Progressive Web App - first introduced on Google I/O | airberlin,Touch (TV Series 2012-2013),How I sped up the initial render of my Polymer app by 86%,The AI business landscape,Text summarization with TensorFlow
Will blockchain drive the fourth Industrial Revolution?,Bayer propõe comprar Monsanto para formar a maior agroquímica do mundo,Making open source data more available,Bayer anuncia compra da Monsanto por US$ 66 bilhões,"No, Apple isn't the next BlackBerry - it's the next Microsoft","Carne artificial acabará com o agronegócio brasileiro, afirma especialista"
"""Consultorias promovem a desvalorização do nosso negócio"" - Meio & Mensagem",MOBILE TIME - FlyHelo: app permite compartilhamento de jatos e helicópteros em São Paulo,"Say goodbye to traditional customer segmentation "" Banking Technology",Mobile banking conquista o coração dos brasileiros,Governo define cronograma para plano nacional de Internet das Coisas,"No Brasil, '25% dos celulares ainda são 'Burrofones'"
New MacBook Pro is not a Laptop for Developers Anymore,Alecrim/AlecrimCoreData,Joel on Software,Ordering coffee in Italy: the 10 commandments,"AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts","The New App Store: Subscription Pricing, Faster Approvals, and Search Ads"
Nubank e Goldman fecham parceria de R$ 200 milhões,Abrimos uma conta no Original.,"Salesforce buys Demandware for $2.8B, taking a big step into e-commerce",Bradesco lança serviço inédito para estimular o hábito de poupar,CMN regulamenta abertura de conta de depósito por meio eletrônico,Novas frentes de trabalho da Alelo vão de ações de fidelidade a novos meios de pagamento
"Telecoms open shop on Madison Avenue, but will brands buy?",Google's Cloud Machine Learning service is now in public beta,Scala is the new golden child,Google cloud boss Diane Greene: We're winning against AWS and Microsoft,Transfer Style But Not Color,"The ""Joel Test"" for Data Science"
Workplace diversity in Brazil: there's still a long way to go,Neural networks are inadvertently learning our language's hidden gender biases,The Genderbread Person v3 | It's Pronounced Metrosexual,YouTube chama seus criadores de conteúdo para a campanha mundial #OrgulhoDeSer,"TRF mantém resolução que proíbe ""cura gay"" - Jornal Opção","Para rebater Estatuto da Família, campanha muda significado de 'família' no Dicionário Houaiss"
Brazil's Bank Itaú Joins R3 Blockchain Consortium - CoinDesk,Visa Introduces NFC-Enabled Payment Ring for Team Visa Sponsored Athletes to Use at Rio 2016 Olympic Games,The End Of Apps As We Know Them - Inside Intercom,An operating model for company-wide agile development,WeChat's world,Embracing Agile
Torus,Introduction to release engineering,"Autofill: What web devs should know, but don't",Cubr,Serverless Data Sync in Web Apps with Bit Torrent,Beyond Progressive Web Apps Part 1
On DRY and the cost of wrongful abstractions,Creating Your Code Review Checklist - DaedTech,My favorite people and resources to learn Android programming from,The Importance of Code Reviews,Learning How to Learn: The Most Important Developer Skill - Free Code Camp,Post: Just Say mNo to Hungarian Notation
